0,C=CCC(=CC(=CC(=CC(=C[C@@H](C)CNC(=O)[C@H](C)N)C(C)C)CCCC)C(C)C)C(=O)[C@@H](OC)C(=O)[C@@H](C=C(C)C[C@H](CCCCCC)[C@@H](O)[C@@H](CCCC)C(=O)O)CC=C
1,C=CCC(=CC(=CC(=CC(=C[C@@H](CCCCCC)C[C@H](CC)[C@H](O)[C@@H](CCCC)C(=O)C(=C[C@@H](CC=C)CC(=CCNC(N)=[NH2+])CCCCCC)CCCCc1c[nH]c(Cl)c1Cl)C(C)C)C(C)C)C(C)C)C(=O)O
2,C=CCC(=CC(=CC(=CC(=Cc1ccc[nH]1)CCCCCC)C(C)C)CCCC)C(=O)[C@@H](CCCCCC)[C@H]1OC(=O)C(C(C)C)=C[C@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H](O)C(O)C(=O)[C@@H]1C(C)C
3,C=CCC(=CC(=CC(=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](C)C[C@H](CC)[C@@H](C)O)C(C)C)CCCC)C[C@H](CC=C)C(=O)[C@@H](C)[C@@H](O)CC(=O)[C@H](C(=O)O)C(C)C
4,C=CCC(=CC(=CC(=CC)C(C)C)CCCC)C(=O)[C@@H](C)C(=O)[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](C(C)C)[C@H]1OC(=O)[C@@H]1CCCC
5,C=CCC(=CC(=CC(=CC1=CCCC1=O)CCCCCC)CCCC)C(=O)C(C=C(CCCCCC)[C@H]1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)C[C@H](CC=C)[C@H](O)[C@@H](CCCC)C[C@H](C(C)C)[C@H](O)[C@@H]1OC)CCCCc1c[nH]c(Cl)c1Cl
6,C=CCC(=CC(=CC(=CCC)CCCCc1c[nH]c(Cl)c1Cl)CCCCc1c[nH]c(Cl)c1Cl)[C@H]1OC(=O)C(CCCCCC)=C[C@@H](CCCC)C[C@H](C(C)C)C(=O)[C@H](CCCCCC)[C@H](O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)[C@H](O)[C@@H](CCCCCC)C[C@@H]1C(C)C
7,C=CCC(=CC(=CC(=C[C@@H](C(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)C(=CC(=C[C@H](O)C(=O)[C@@H](O)CC=Cc1ccccc1)CCCC)CC)C(C)C)OC)C(C)C)C(=O)[C@@H](CCCCCC)C(=O)O
8,C=CCC(=CC(=CC(=C[C@@H](CC)C(=O)[C@H](CC=C)[C@H](O)C(=C[C@@H](CC=C)C[C@H](CC(=Cc1ccccc1)CC)C(C)C)CC)CCCCc1c[nH]c(Cl)c1Cl)CCCCc1c[nH]c(Cl)c1Cl)C[C@H](C)C(=O)O
9,C=CCC(=CC(=CC(=C[C@@H](CC)C(=O)[C@H](CCCCCC)C(=O)[C@@H](CC)C(=O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](C)CC=Cc1ccccc1)CC)CCCCc1c[nH]c(Cl)c1Cl)C(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O
10,C=CCC(=CC(=CC(=C[C@@H](OC)C(=O)[C@@H](CCCC)C(=O)[C@H](CC)C(=O)[C@H](C)[C@H](O)CNC(N)=[NH2+])CCCC)C(C)C)C=C(C(=O)[C@@H](C)C[C@@H](C(=O)O)C(C)C)C(C)C
11,C=CCC(=CC(=CC(=C[C@H](C(C)C)[C@H](O)C(=C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](OC)C(=O)[C@@H](CCCCCC)C(=O)[C@@H](CCCCCC)C(=O)c1c[nH]c(Cl)c1Cl)CCCC)C(C)C)CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@H]1OC1=O
12,C=CCC(=CC(=CC(=C[C@H](CCCC)[C@H](O)[C@@H](C(=O)[C@@H](C)C(=O)C[C@H](O)c1ccc(N)cc1)C(C)C)C(C)C)CC)C(=O)C(O)C(=O)O
13,C=CCC(=CC(=CC(=C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)[C@H](O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)[C@H](O)[C@@H](CCCCCC)C(=O)[C@H](CC)[C@H](O)C(O)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C[C@@H]1CCC[C@H]1C(=O)O)C(C)C)C(C)C)C(=O)O
14,C=CCC(=CC(=CC(C)=C[C@H](OC)C(=O)C=CC(=C[C@H](CCCCCC)C(=O)CNC(N)=[NH2+])CCCC)CCCCc1c[nH]c(Cl)c1Cl)C=C(CCCCCC)C[C@@H](C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O)C(C)C
15,C=CCC(=CC(=CC(C)CC)CCCCCC)C(=O)[C@@H](O)C[C@H](CC)[C@@H](O)[C@@H](CC=C)C(=O)[C@H](C[C@H](CCCCCC)[C@H]1OC(=O)[C@@H]1CC=C)C(C)C
16,C=CCC(=CC(=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](CCCCCC)C[C@H](CCCCCC)[C@H](O)[C@H](OC)C(=O)[C@@H](CC=C)C[C@H](C[C@H](CC)C(C)C)C(C)C)CCCC)C(=O)O
17,C=CCC(=CC(=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CCCC)[C@H](O)[C@H](CC)[C@H](O)C(O)C(=O)C(=C[C@H](C(C)C)[C@H](O)CC)OC)C(C)C)[C@@H](O)[C@H](C(=O)[C@H](C)C(=O)O)C(C)C
18,C=CCC(=CC(=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](O)C(=O)[C@@H](OC)C(=O)CNC(N)=[NH2+])CC)C(=O)[C@H](OC)C(=O)[C@H](C(=O)[C@H](CCCC)C(=O)[C@H](C=C(OC)C(=O)O)OC)C(C)C
19,C=CCC(=CC(=CC(O)=C[C@H](CC=C)[C@H](O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)C[C@H](O)[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](CCCCCC)[C@H](O)[C@H](CC=C)[C@H](O)C(O)=CC)CCCCCC)C(=O)O
20,C=CCC(=CC(=CC(O)=C[C@H](CCCC)C(=O)CC(=O)c1ccc([N+](=O)[O-])cc1)CC)CCC(=O)[C@H](CC=C)[C@@H](O)[C@@H](O)C(=O)[C@@H](C=C(CCCC)C(=O)O)CC
21,C=CCC(=CC(=CC(O)C(=O)[C@@H](CC)C(=O)[C@@H](CCCCCC)C(=O)[C@@H](CCCC)C(=O)[C@H](OC)C(=O)[C@@H](C)C(=O)C(O)=CCCCOC)CCCCCC)C(=O)O
22,C=CCC(=CC(=CC(O)C(=O)c1csc(C)n1)C(C)C)C(=O)[C@@H](CCCC)C(=O)[C@@H](C[C@H](CC)[C@@H](O)[C@H](C[C@H](C)C(=O)[C@@H](C(C)C)[C@H]1OC(=O)[C@@H]1CC=C)OC)C(C)C
23,C=CCC(=CC(=CC1=CCCC1=O)CCCCCC)C(=O)[C@H](CCCC)C[C@H](CC=C)[C@H]1OC(=O)[C@H](C)C(=O)[C@H](O)C(=O)[C@H](C(C)C)[C@H](O)C(CCCC)=C[C@@H]1OC
24,C=CCC(=CC(=CC1=CC[C@@H](O)[C@H](O)C1)CCCCCC)C(=O)[C@@H](O)[C@@H](O)C[C@@H](O)[C@@H](CC)C(=O)[C@H](CCCC)[C@@H](O)[C@@H](CCCCCC)C[C@H](CC)C(=O)[C@@H](CCCCCC)[C@@H](O)[C@@H](CCCCCC)C(=O)O
25,C=CCC(=CC(=CC1CCCCC1)CCCCCC)C(=O)[C@@H](C)C(=O)[C@@H](CC=C)C(=O)[C@H](CCCCCC)C(=O)[C@H](CC)[C@@H](O)[C@@H](CC)[C@@H](O)CC(=O)C(O)C(=O)O
26,C=CCC(=CC(=CC1CCCCC1)OC)C[C@H](CC=C)C(=O)[C@@H](CC)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@H](C(=O)[C@@H](C)C=C(CCCC)C(=O)O)C(C)C
27,C=CCC(=CC(=CC=CC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)C1CCCCC1)C(C)C)[C@@H](O)[C@@H](OC)C(=O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)[C@@H](O)[C@@H](C(C)C)[C@@H](O)[C@H](C[C@H](CC)C[C@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O)OC
28,C=CCC(=CC(=CC=CC(CCCCc1c[nH]c(Cl)c1Cl)C(C)=O)CCCCCC)C=C(CCCCc1c[nH]c(Cl)c1Cl)CCC(=O)[C@@H](C=C(OC)C(=O)[C@H](OC)C(=O)[C@@H](CC)C(=O)O)CC=C
29,C=CCC(=CC(=CC=C[C@@H](C(=O)[C@@H](CC=C)C[C@H](CCCC)[C@H](O)[C@@H](CC)C(=O)[C@@H](C)CNC(=O)[C@H](C)N)C(C)C)C(C)C)C(=O)[C@H](C=C(C[C@H](CCCCCC)C(=O)O)C(C)C)CCCCCC
30,C=CCC(=CC(=CC=C[C@@H](CCCCCC)C[C@@H](C)C(=O)c1ccccc1)CC)C(=O)[C@H](CC=C)[C@@H](O)[C@@H](CCCC)C[C@H](O)C(=O)[C@@H](C=C(O)C(=O)O)CC
31,C=CCC(=CC(=CC=Cc1ccccc1)C(C)C)C(=O)[C@@H](C=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)[C@@H](CC)[C@@H](O)[C@@H](C)C=C(O)[C@@H](O)[C@H](C=C(CCCC)[C@@H](O)[C@@H](CCCCc1c[nH]c(Cl)c1Cl)C(=O)O)C(C)C)CCCC
32,C=CCC(=CC(=CCC(=O)[C@@H](C)C(=O)[C@@H](OC)C(=O)COC)CCCC)C(=O)[C@@H](C=C(CC)C[C@H](OC)[C@@H](O)[C@@H](C)C=CC(=O)O)CCCCCC
33,C=CCC(=CC(=CCC)C(C)C)C(=O)[C@H](C(=O)[C@H]1OC(=O)[C@@H](CCCCc2c[nH]c(Cl)c2Cl)C[C@@H](CCCCCC)C(=O)[C@H](CCCCc2c[nH]c(Cl)c2Cl)C(=O)[C@@H](OC)C(=O)[C@@H](C(C)C)C1=O)C(C)C
