CMP_name,Food_name,SMILES,FDB_ID,CID,Pred_medicinal
,Other_fruits,CC1=C(O)C2=C3C(=C1)C1=C(O)C=C(C=C1OC3(OC1=C2C=CC(O)=C1)C1=C(O)C=C(O)C=C1)C1=CC2=C(O1)C(O)=CC=C2,FDB000001,72549225,0.0
,Other_fruits,CCCCCCCCCCCCC1OC1CCC1OC1CCCCCCCCCCCCCCC1=CC(C)OC1=O,FDB001000,102064358,0.0
,Tea,CC(C)=CCC1=C(O)C=CC(C2COC3=C(CC=C(C)C)C(O)=CC=C3C2)=C1O,FDB001001,15380911,0.0
,Nuts,OCC1OC(OC2=C(O)C=C(COC(=O)C3=CC(O)=C(OC4=C(C=C(O)C(O)=C4O)C(=O)OCC4=CC(O)=C(OC5OC(CO)C(O)C(O)C5O)C(O)=C4)C(O)=C3)C=C2O)C(O)C(O)C1O,FDB001002,14057205,0.0
,Other_fruits,CCCCCCCCCCCC\\C=C/CC\\C=C/CCC(O)C(O)CCCCCCCCCCC1=CC(C)OC1=O,FDB001003,131750907,0.0
,Cereals_and_bakery_products,CCCCCC(=O)CC\\C=C\\CCCCCCCC(O)=O,FDB001004,44612156,0.0
N-PENTYL-AMINE,Cabbage,CCCCCN,FDB010039,8060,0.0
,Cereals_and_bakery_products,CCCCCC(=O)CC\\C=C\\CCCCCCCCCC(O)=O,FDB001005,124089052,0.0
,Tomatoes,NC(CC1=CC=C(OC2=CC(CC(N)C(O)=O)=CC(=C2O)C2=C(O)C(OC3=CC=C(CC(N)C(O)=O)C=C3)=CC(CC(N)C(O)=O)=C2)C=C1)C(O)=O,FDB001006,131750908,0.0
,Cereals_and_bakery_products,CCCCCCCCCCCCCCCCCCCCC\\C=C\\C(O)=O,FDB001007,6440260,0.0
MANGIFERIC-ACID,Mango,CC\\C=C\\CCCC\\C=C\\CCCCCCCC(O)=O,FDB001008,6439027,0.0
,Other_green_vegetables,CCCCCCCCCCCCCCCCCCCCCCC\\C=C\\CCCCCCC(O)=O,FDB001009,131750909,0.0
,Other_green_vegetables,CCCCCCCCCCC(=O)CCCCCCCCCCC1CCCCC1,FDB001010,129882177,0.0
,Meats,NC(CCCC[N+]1=CC(CCC(N)C(O)=O)=CC(CCC(N)C(O)=O)=C1\\C=C\\C(CCC(N)C(O)=O)CCC(N)C(O)=O)C(O)=O,FDB001011,131750910,0.0
,Other_fruits,CCC(CO)C(O)CC(O)C(C)CCC(C)CCCC1(C)C(CC)C(=O)C=CC1(C)O,FDB001012,71308241,0.0
,Other_fruits,OC1OC2COC(=O)C3=C(C(O)=C(O)C(O)=C3)C3=C(O)C(O)=C4OC5=C(O)C(O)=C(O)C=C5C(=O)OC5C(O)OC6COC(=O)C7=C(C(O)=C8OC9(O)C(OC8=C7)C(=CC(=O)C9(O)O)C(=O)OC1C(OC(=O)C1=CC(O)=C(O)C(O)=C1)C2OC(=O)C3=C4)C1=CC(=C(O)C(O)=C1O)C(=O)OC6C5OC(=O)C1=CC(O)=C(O)C(O)=C1,FDB001013,131750911,0.0
METHYL-NICOTINATE,Papaya,COC(=O)C1=CN=CC=C1,FDB001015,7151,0.0
NICOTINIC-ACID-ETHYL-ESTER,Orange,CCOC(=O)C1=CN=CC=C1,FDB001016,69188,0.0
,Alcoholic_beverages,COC1=CC(=CC=C1O)C12OC(C)(C(C1OC1OC(CO)C(O)C(O)C1O)C1=C(O)C=C(O)C=C1O2)C(C)=O,FDB001019,131750912,0.0
