Name,SMILES
abyssomicin C,CC1C[C@]23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)[C@@H](C)C[C@@H](C)C4=O
atrop-abyssomicin C,CC1CC23OC(=O)C4=C2OC1C(O)C3\C=C/C(=O)C(C)CC(C)C4=O
aculeximycin,CCCC(O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)C(C)C(O)C(CC)\C=C\C(O)C(C)C1C\C=C(C)\C(O)C(C)C(CC(O)C(C)C(O)CC2CC(O)C(O)C(O)(CC(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O[C@H]4C[C@@H](N)[C@H](O)[C@@H](C)O4)[C@H]3O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O)C(C)CCC(O)CC(O)C\C=C(CC)\C(=O)O1)O2)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
AF-toxin,CCC(C)C(C(=O)OC(/C=C/C=C/C=C/C(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O
aflatoxin G1,[H][C@@]12OC=C[C@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCOC1=O
aflatoxin,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
aflatoxin,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
aflatoxin,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
aflatoxin,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
aflatoxin,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
aflatoxin,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1
sterigmatocystin,[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O
alternapyrone,CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C
alternariol,CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O
ambruticin,CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C
amphotericin B,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
anatoxin-a,CC(=O)C1=CCC[C@@H]2CC[C@H]1N2
homoanatoxin-a,CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2
angolamycin,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC
angolamycin,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC
maytansine,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O
ansamitocin P-3,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O
apoptolidin,COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\C=C(/C)\C=C\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\C=C(/C)\C=C(/C)\C=C(C)\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1
asperfuranone,CCC(C)C=C(C)C=CC(=O)C1=C2CC(O)C(C)(O)C(=O)C2=CO1
aurafuron A,CC(C)C\C=C(/C)[C@H](O)[C@H](C)\C=C\C=C/[C@@H](O)CC1=C(C)C(=O)C(C)(O)O1
aureothin,CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2
avermectin,CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C
avilamycin A,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C
avilamycin C,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C
ankaflavin,CCCCCCCC(=O)C1C2CC3=C(COC(\C=C\C)=C3)C(=O)C2(C)OC1=O
monascin,[H]\C(C)=C(\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2
rubropunctatine,CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C
monascorubrin,CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C
bafilomycin B1,COC1\C=C\C=C(C)\CC(C)C(O)C(C)\C=C(/C)\C=C(OC)\C(=O)OC1C(C)C(O)C(C)C1(O)CC(OC(=O)\C=C\C(=O)NC2=C(O)CCC2=O)C(C)C(O1)C(C)C
BE-14106,CCC\C=C\CC1C\C=C\C=C(/C)\C=C\C=C/C(O)C(O)\C=C(/C)\C=C\C=C\C(=O)N1
bikaverin,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC
borrelidin,[H][C@]1(CCC[C@H]1C(O)=O)[C@]1([H])C\C=C\C=C(C#N)/[C@H](O)[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O1
A23187,[H][C@@](C)(C(=O)C1=CC=CN1)[C@@]1([H])O[C@@]2(CC[C@@H](C)[C@@]([H])(CC3=NC4=C(O3)C=CC(NC)=C4C(O)=O)O2)[C@H](C)C[C@H]1C
calicheamicin,CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O
candicidin,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O
chalcomycin A,CO[C@@H]1C[C@H](C)O[C@H](OC2C(C)CC(C)(O)C(=O)\C=C\C3OC3C(CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)C(C)OC(=O)\C=C\C2C)[C@H]1O
chlorothricin,C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O
deschlorothricin,C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O
cichorine,CC1=C(C=C2C(=C1OC)CNC2=O)O
coelimycin P1,C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C
compactin,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12
concanamycin A,[H][C@@]1(OC(=O)\C(OC)=C\C(\C)=C\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\C(C)=C\C=C\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\C=C\C
oronofacic acid,[H][C@]12CCC(=O)[C@@]1([H])C[C@@H](CC)C=C2C(O)=O
cremimycin,CCCCCCC1CC(=O)CCCC(O)C\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\C=C(/C)\C=C/C=C\C(=O)N1
curacin A,CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C
dawenol,C\C=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(C)\C=C(/C)C(O)C(C)C(C)OC(C)=O
dehydrocurvularin,CC1CCC\C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1
depudecin,C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C
"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin",C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C
dothistromin,C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O
E-837,C\C=C(/C)C(O)C(C)\C=C\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1
ebelactone A,CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O
